Where,1stD H,TotYd H,PassY H,RushY H,TO H,1stD A,TotYd A,PassY A,RushY A,TO A,1stD Diff,TotYd Diff,PassY Diff,RushY Diff,TO Diff,Outcome
H,16,329,288,41,3,25,379,264,115,0,-9,-50,24,-74,3,L
H,22,354,234,120,0,18,231,161,70,2,4,123,73,50,-2,W
H,29,530,345,185,3,15,300,83,217,0,14,230,262,-32,3,L
H,13,302,175,127,1,21,351,261,90,0,-8,-49,-86,37,1,W
A,9,134,49,85,1,22,424,180,244,1,-13,-290,-131,-159,0,L
H,22,461,302,159,0,27,345,245,100,4,-5,116,57,59,-4,W
A,6,105,69,36,1,21,381,313,68,2,-15,-276,-244,-32,-1,L
H,18,211,147,64,1,22,490,279,211,1,-4,-279,-132,-147,0,L
H,17,333,187,146,2,27,451,272,179,1,-10,-118,-85,-33,1,W
H,19,303,280,23,1,22,424,256,168,0,-3,-121,24,-145,1,L
H,16,336,174,162,1,25,366,258,108,2,-9,-30,-84,54,-1,W
A,25,400,279,121,0,19,397,275,122,2,6,3,4,-1,-2,W
H,19,318,191,127,1,21,279,166,113,0,-2,39,25,14,1,W
A,17,261,131,130,2,15,229,178,51,5,2,32,-47,79,-3,W
A,13,213,166,47,0,16,254,208,46,1,-3,-41,-42,1,-1,W
A,18,250,217,33,1,26,497,228,269,1,-8,-247,-11,-236,0,L
A,24,388,237,151,0,21,370,241,129,2,3,18,-4,22,-2,W
H,14,224,186,38,3,23,381,291,90,0,-9,-157,-105,-52,3,L
H,17,278,184,94,1,20,346,271,75,2,-3,-68,-87,19,-1,L
H,16,246,174,72,1,23,389,283,106,4,-7,-143,-109,-34,-3,W
A,29,438,315,123,3,29,447,261,186,2,0,-9,54,-63,1,W
H,20,335,270,65,2,14,243,134,109,1,6,92,136,-44,1,W
A,21,411,310,101,0,19,357,204,153,0,2,54,106,-52,0,W
A,16,281,178,103,1,17,263,137,126,0,-1,18,41,-23,1,L
H,11,226,151,75,1,18,326,222,104,0,-7,-100,-71,-29,1,L
H,17,347,270,77,4,20,349,295,54,0,-3,-2,-25,23,4,L
H,22,424,180,244,1,9,134,49,85,1,13,290,131,159,0,W
A,15,251,199,52,1,27,419,327,92,1,-12,-168,-128,-40,0,L
A,14,243,134,109,1,20,335,270,65,2,-6,-92,-136,44,-1,L
H,24,432,269,163,1,23,374,234,140,2,1,58,35,23,-1,L
