Where,1stD Diff,TotYd Diff,PassY Diff,RushY Diff,TO Diff,Outcome,,,,,,,,
A,MediumHigh,MediumHigh,Medium,MediumHigh,MediumLow,W,,,,,,,,
H,MediumLow,MediumLow,MediumLow,Medium,High,L,,,,,,,,
H,Medium,Medium,MediumLow,MediumHigh,Medium,L,,,,,,,,
H,MediumLow,MediumLow,MediumLow,Medium,MediumLow,W,,,,,,,,
A,MediumHigh,Medium,MediumHigh,MediumLow,High,W,,,,,,,,
H,High,High,High,Medium,High,W,,,,,,,,
A,MediumHigh,MediumHigh,High,Medium,MediumHigh,W,,,,,,,,
A,Medium,MediumHigh,MediumHigh,Medium,High,L,,,,,,,,
H,MediumLow,MediumLow,Medium,Medium,High,L,,,,,,,,
H,Medium,Medium,Medium,MediumHigh,High,L,,,,,,,,
H,High,High,High,High,MediumHigh,W,,,,,,,,
A,MediumLow,MediumLow,MediumLow,Medium,MediumHigh,L,,,,,,,,
A,MediumLow,MediumLow,MediumLow,MediumHigh,Medium,L,,,,,,,,
H,MediumHigh,MediumHigh,MediumHigh,MediumHigh,Medium,L,,,,,,,,
A,Medium,MediumHigh,MediumHigh,MediumHigh,High,L,,,,,,,,
A,MediumHigh,High,MediumHigh,MediumHigh,MediumHigh,L,,,,,,,,
A,MediumLow,MediumLow,MediumLow,High,MediumLow,W,,,,,,,,
H,Medium,Medium,MediumLow,High,MediumLow,W,,,,,,,,
H,Medium,Medium,MediumHigh,MediumLow,High,W,,,,,,,,
H,Medium,MediumLow,MediumLow,Medium,Medium,W,,,,,,,,
H,High,High,High,High,High,L,,,,,,,,
H,High,High,High,High,MediumHigh,W,,,,,,,,
H,MediumHigh,MediumHigh,MediumHigh,Medium,MediumHigh,W,,,,,,,,
A,MediumLow,MediumLow,MediumLow,MediumLow,MediumHigh,L,,,,,,,,
H,High,MediumHigh,High,MediumLow,High,L,,,,,,,,
H,MediumLow,MediumLow,Medium,MediumLow,High,L,,,,,,,,
A,MediumLow,MediumLow,Medium,MediumLow,MediumHigh,L,,,,,,,,
A,Medium,High,High,MediumLow,MediumHigh,W,,,,,,,,
H,MediumLow,MediumLow,Medium,MediumLow,Medium,L,,,,,,,,
H,Medium,Medium,MediumLow,MediumHigh,MediumHigh,L,,,,,,,,
A,Medium,MediumLow,MediumLow,Medium,MediumHigh,L,,,,,,,,
