========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2018-11-11 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2018-11-11 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
2018-11-15 00:30  to 2018-11-15 00:45,0.039,,
2018-11-15 00:45  to 2018-11-15 01:00,0.206,,
2018-11-15 01:00  to 2018-11-15 01:15,0.052,,
2018-11-15 01:15  to 2018-11-15 01:30,0.049,,
2018-11-15 01:30  to 2018-11-15 01:45,0.150,,
2018-11-15 01:45  to 2018-11-15 02:00,0.050,,
2018-11-15 02:00  to 2018-11-15 02:15,0.063,,
2018-11-15 02:15  to 2018-11-15 02:30,0.222,,
2018-11-15 02:30  to 2018-11-15 02:45,0.095,,
2018-11-15 02:45  to 2018-11-15 03:00,0.196,,
2018-11-15 03:00  to 2018-11-15 03:15,0.105,,
2018-11-15 03:15  to 2018-11-15 03:30,0.090,,
2018-11-15 03:30  to 2018-11-15 03:45,0.180,,
2018-11-15 03:45  to 2018-11-15 04:00,0.070,,
2018-11-15 04:00  to 2018-11-15 04:15,0.186,,
2018-11-15 04:15  to 2018-11-15 04:30,0.067,,
2018-11-15 04:30  to 2018-11-15 04:45,0.076,,
2018-11-15 04:45  to 2018-11-15 05:00,0.137,,
2018-11-15 05:00  to 2018-11-15 05:15,0.174,,
2018-11-15 05:15  to 2018-11-15 05:30,0.071,,
2018-11-15 05:30  to 2018-11-15 05:45,0.062,,
2018-11-15 05:45  to 2018-11-15 06:00,0.204,,
2018-11-15 06:00  to 2018-11-15 06:15,0.190,,
2018-11-15 06:15  to 2018-11-15 06:30,0.231,,
2018-11-15 06:30  to 2018-11-15 06:45,0.159,,
2018-11-15 06:45  to 2018-11-15 07:00,0.108,,
2018-11-15 07:00  to 2018-11-15 07:15,0.318,,
2018-11-15 07:15  to 2018-11-15 07:30,0.189,,
2018-11-15 07:30  to 2018-11-15 07:45,0.115,,
2018-11-15 07:45  to 2018-11-15 08:00,0.150,,
2018-11-15 08:00  to 2018-11-15 08:15,0.168,,
2018-11-15 08:15  to 2018-11-15 08:30,0.000,,
2018-11-15 08:30  to 2018-11-15 08:45,0.000,,
2018-11-15 08:45  to 2018-11-15 09:00,0.000,,
