========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2018-05-15 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2018-05-15 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
2018-05-17 15:30  to 2018-05-17 15:45,0.000,,
2018-05-17 15:45  to 2018-05-17 16:00,0.032,,
2018-05-17 16:00  to 2018-05-17 16:15,0.411,,
2018-05-17 16:15  to 2018-05-17 16:30,0.121,,
2018-05-17 16:30  to 2018-05-17 16:45,0.000,,
2018-05-17 16:45  to 2018-05-17 17:00,0.000,,
2018-05-17 17:00  to 2018-05-17 17:15,0.008,,
2018-05-17 17:15  to 2018-05-17 17:30,0.035,,
2018-05-17 17:30  to 2018-05-17 17:45,0.058,,
2018-05-17 17:45  to 2018-05-17 18:00,0.039,,
2018-05-17 18:00  to 2018-05-17 18:15,0.023,,
2018-05-17 18:15  to 2018-05-17 18:30,0.040,,
2018-05-17 18:30  to 2018-05-17 18:45,0.049,,
2018-05-17 18:45  to 2018-05-17 19:00,0.030,,
2018-05-17 19:00  to 2018-05-17 19:15,0.076,,
2018-05-17 19:15  to 2018-05-17 19:30,0.074,,
2018-05-17 19:30  to 2018-05-17 19:45,0.066,,
2018-05-17 19:45  to 2018-05-17 20:00,0.098,,
2018-05-17 20:00  to 2018-05-17 20:15,0.091,,
2018-05-17 20:15  to 2018-05-17 20:30,0.079,,
2018-05-17 20:30  to 2018-05-17 20:45,0.084,,
2018-05-17 20:45  to 2018-05-17 21:00,0.161,,
2018-05-17 21:00  to 2018-05-17 21:15,0.151,,
2018-05-17 21:15  to 2018-05-17 21:30,0.158,,
2018-05-17 21:30  to 2018-05-17 21:45,0.189,,
2018-05-17 21:45  to 2018-05-17 22:00,0.160,,
2018-05-17 22:00  to 2018-05-17 22:15,0.048,,
2018-05-17 22:15  to 2018-05-17 22:30,0.069,,
2018-05-17 22:30  to 2018-05-17 22:45,0.052,,
2018-05-17 22:45  to 2018-05-17 23:00,0.044,,
2018-05-17 23:00  to 2018-05-17 23:15,0.058,,
2018-05-17 23:15  to 2018-05-17 23:30,0.064,,
2018-05-17 23:30  to 2018-05-17 23:45,0.054,,
2018-05-17 23:45  to 2018-05-18 00:00,0.068,,

========================================
Interval Blockdata for period starting:, 2018-05-18 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2018-05-18 00:00  to 2018-05-18 00:15,0.119,,
2018-05-18 00:15  to 2018-05-18 00:30,0.096,,
2018-05-18 00:30  to 2018-05-18 00:45,0.065,,
2018-05-18 00:45  to 2018-05-18 01:00,0.077,,
2018-05-18 01:00  to 2018-05-18 01:15,0.085,,
2018-05-18 01:15  to 2018-05-18 01:30,0.045,,
2018-05-18 01:30  to 2018-05-18 01:45,0.044,,
2018-05-18 01:45  to 2018-05-18 02:00,0.065,,
2018-05-18 02:00  to 2018-05-18 02:15,0.059,,
2018-05-18 02:15  to 2018-05-18 02:30,0.045,,
2018-05-18 02:30  to 2018-05-18 02:45,0.045,,
2018-05-18 02:45  to 2018-05-18 03:00,0.068,,
2018-05-18 03:00  to 2018-05-18 03:15,0.055,,
2018-05-18 03:15  to 2018-05-18 03:30,0.064,,
2018-05-18 03:30  to 2018-05-18 03:45,0.062,,
2018-05-18 03:45  to 2018-05-18 04:00,0.069,,
2018-05-18 04:00  to 2018-05-18 04:15,0.050,,
2018-05-18 04:15  to 2018-05-18 04:30,0.066,,
2018-05-18 04:30  to 2018-05-18 04:45,0.069,,
2018-05-18 04:45  to 2018-05-18 05:00,0.095,,
2018-05-18 05:00  to 2018-05-18 05:15,0.066,,
2018-05-18 05:15  to 2018-05-18 05:30,0.056,,
2018-05-18 05:30  to 2018-05-18 05:45,0.049,,
2018-05-18 05:45  to 2018-05-18 06:00,0.053,,
2018-05-18 06:00  to 2018-05-18 06:15,0.005,,
2018-05-18 06:15  to 2018-05-18 06:30,0.000,,
2018-05-18 06:30  to 2018-05-18 06:45,0.027,,
2018-05-18 06:45  to 2018-05-18 07:00,0.091,,
2018-05-18 07:00  to 2018-05-18 07:15,0.054,,
2018-05-18 07:15  to 2018-05-18 07:30,0.046,,
2018-05-18 07:30  to 2018-05-18 07:45,0.000,,
2018-05-18 07:45  to 2018-05-18 08:00,0.000,,
2018-05-18 08:00  to 2018-05-18 08:15,0.000,,
2018-05-18 08:15  to 2018-05-18 08:30,0.000,,
2018-05-18 08:30  to 2018-05-18 08:45,0.000,,
2018-05-18 08:45  to 2018-05-18 09:00,0.000,,
2018-05-18 09:00  to 2018-05-18 09:15,0.000,,
2018-05-18 09:15  to 2018-05-18 09:30,0.096,,
2018-05-18 09:30  to 2018-05-18 09:45,0.188,,
2018-05-18 09:45  to 2018-05-18 10:00,0.085,,
2018-05-18 10:00  to 2018-05-18 10:15,0.000,,
2018-05-18 10:15  to 2018-05-18 10:30,0.028,,
2018-05-18 10:30  to 2018-05-18 10:45,0.000,,
2018-05-18 10:45  to 2018-05-18 11:00,0.000,,
2018-05-18 11:00  to 2018-05-18 11:15,0.000,,
2018-05-18 11:15  to 2018-05-18 11:30,0.000,,
2018-05-18 11:30  to 2018-05-18 11:45,0.000,,
2018-05-18 11:45  to 2018-05-18 12:00,0.000,,
2018-05-18 12:00  to 2018-05-18 12:15,0.000,,
2018-05-18 12:15  to 2018-05-18 12:30,0.003,,
2018-05-18 12:30  to 2018-05-18 12:45,0.016,,
2018-05-18 12:45  to 2018-05-18 13:00,0.000,,
2018-05-18 13:00  to 2018-05-18 13:15,0.000,,
2018-05-18 13:15  to 2018-05-18 13:30,0.000,,
2018-05-18 13:30  to 2018-05-18 13:45,0.000,,
2018-05-18 13:45  to 2018-05-18 14:00,0.000,,
2018-05-18 14:00  to 2018-05-18 14:15,0.000,,
2018-05-18 14:15  to 2018-05-18 14:30,0.000,,
2018-05-18 14:30  to 2018-05-18 14:45,0.000,,
2018-05-18 14:45  to 2018-05-18 15:00,0.000,,
2018-05-18 15:00  to 2018-05-18 15:15,0.000,,
2018-05-18 15:15  to 2018-05-18 15:30,0.000,,
2018-05-18 15:30  to 2018-05-18 15:45,0.000,,
2018-05-18 15:45  to 2018-05-18 16:00,0.000,,
2018-05-18 16:00  to 2018-05-18 16:15,0.000,,
2018-05-18 16:15  to 2018-05-18 16:30,0.000,,
2018-05-18 16:30  to 2018-05-18 16:45,0.006,,
2018-05-18 16:45  to 2018-05-18 17:00,0.270,,
2018-05-18 17:00  to 2018-05-18 17:15,0.207,,
2018-05-18 17:15  to 2018-05-18 17:30,0.105,,
2018-05-18 17:30  to 2018-05-18 17:45,0.081,,
2018-05-18 17:45  to 2018-05-18 18:00,0.194,,
2018-05-18 18:00  to 2018-05-18 18:15,0.382,,
2018-05-18 18:15  to 2018-05-18 18:30,0.357,,
